,medalist_name,Event,Medal,Gender
177,Bair Badënov,archery,bronze,male
676,Ilario Di Buò,archery,silver,male
682,Im Dong-hyun,archery,gold,male
760,Jiang Lin,archery,bronze,male
920,Lee Chang-hwan,archery,gold,male
950,Li Wenquan,archery,bronze,male
1043,Marco Galiazzo,archery,silver,male
1107,Mauro Nespoli,archery,silver,male
1314,Park Kyung-mo,archery,silver,male
1710,Viktor Ruban,archery,gold,male
1768,Xue Haifeng,archery,bronze,male
2124,Bérengère Schuh,archery,bronze,female
2160,Chen Ling,archery,silver,female
2472,Guo Dan,archery,silver,female
2656,Joo Hyun-Jung,archery,gold,female
3191,Park Sung-hyun,archery,silver,female
3424,Sophie Dodemont,archery,bronze,female
3595,Virginie Arnold,archery,bronze,female
3696,Yun Ok-hee,archery,bronze,female
3705,Zhang Juanjuan,archery,gold,female
3750,Aaron Armstrong,athletics,gold,male
3767,Ainārs Kovals,athletics,silver,male
3795,Alex Schwazer,athletics,gold,male
3809,Alfred Kirwa Yego,athletics,bronze,male
3842,Andrae Williams,athletics,silver,male
3850,Andreas Thorkildsen,athletics,gold,male
3855,Andrei Krauchanka,athletics,silver,male
3857,Andretti Bain,athletics,silver,male
3862,Andrew Steele,athletics,bronze,male
3865,Andrey Silnov,athletics,gold,male
3876,Angelo Taylor,athletics,gold,male
3915,Asbel Kiprop,athletics,gold,male
3921,Avard Moncur,athletics,silver,male
3951,Bershawn Jackson,athletics,bronze,male
3981,Brimin Kipruto,athletics,gold,male
3992,Bruno de Barros,athletics,bronze,male
3993,Bryan Clay,athletics,gold,male
4055,Chris Brown,athletics,silver,male
4059,Christian Cantwell,athletics,silver,male
4127,David Neville,athletics,bronze,male
4128,David Oliver,athletics,bronze,male
4129,David Payne,athletics,silver,male
4134,Dayron Robles,athletics,gold,male
4142,Denis Nizhegorodov,athletics,bronze,male
4145,Derek Miles,athletics,bronze,male
4179,Dylan Armstrong,athletics,bronze,male
4190,Edwin Soi,athletics,bronze,male
4209,Eliud Kipchoge,athletics,silver,male
4231,Emmanuel Callender,athletics,gold,male
4312,Gerd Kanter,athletics,gold,male
4315,Germaine Mason,athletics,silver,male
4335,Godfrey Khotso Mokoena,athletics,silver,male
4419,Ibrahim Camejo,athletics,bronze,male
4449,Irving Saladino,athletics,gold,male
4456,Ismail Ahmed Ismail,athletics,silver,male
4458,Ivan Tsikhan,athletics,bronze,male
4478,Jaouad Gharib,athletics,silver,male
4480,Jared Tallent,athletics,bronze,male
4494,Jefferson Pérez,athletics,silver,male
4504,Jeremy Wariner,athletics,silver,male
4538,José Carlos Moreira,athletics,bronze,male
4593,Kenenisa Bekele,athletics,gold,male
4598,Kerron Clement,athletics,silver,male
4603,Keston Bledman,athletics,gold,male
4652,LaShawn Merritt,athletics,gold,male
4683,Leevan Sands,athletics,bronze,male
4689,Leonel Suárez,athletics,bronze,male
4771,Mahiedine Mekhissi-Benabbad,athletics,silver,male
4786,Marc Burns,athletics,gold,male
4833,Martyn Rooney,athletics,bronze,male
4871,Mehdi Baala,athletics,bronze,male
4887,Micah Kogo,athletics,bronze,male
4888,Michael Bingham,athletics,bronze,male
4890,Michael Mathieu,athletics,silver,male
4948,Naoki Tsukahara,athletics,silver,male
4974,Nelson Évora,athletics,gold,male
4978,Nick Willis,athletics,silver,male
4998,Nobuharu Asahara,athletics,silver,male
5091,Phillips Idowu,athletics,silver,male
5093,Piotr Małachowski,athletics,silver,male
5099,Primož Kozmus,athletics,gold,male
5121,Ramon Miller,athletics,silver,male
5135,Reggie Witherspoon,athletics,gold,male
5150,Richard Mateelong,athletics,bronze,male
5152,Richard Thompson,athletics,silver,male
5162,Robert Tobin,athletics,bronze,male
5215,Samuel Wanjiru,athletics,gold,male
5219,Sandro Viana,athletics,bronze,male
5261,Shawn Crawford,athletics,silver,male
5271,Shingo Suetsugu,athletics,silver,male
5272,Shinji Takahira,athletics,silver,male
5275,Sileshi Sihine,athletics,silver,male
5319,Steve Hooker,athletics,gold,male
5375,Tero Pitkämäki,athletics,bronze,male
5411,Tomasz Majewski,athletics,gold,male
5429,Tsegaye Kebede,athletics,bronze,male
5435,Usain Bolt,athletics,gold,male
5436,Vadim Devyatovskiy,athletics,silver,male
5441,Valeriy Borchin,athletics,gold,male
5453,Vicente de Lima,athletics,bronze,male
5467,Virgilijus Alekna,athletics,bronze,male
5476,Walter Dix,athletics,bronze,male
5498,Wilfred Bungei,athletics,gold,male
5535,Yaroslav Rybakov,athletics,bronze,male
5552,Yevgeny Lukyanenko,athletics,silver,male
5639,Agnes Osazuwa,athletics,silver,female
5697,Allyson Felix,athletics,silver,female
5756,Anna Chicherova,athletics,bronze,female
5806,Barbora Špotáková,athletics,gold,female
5836,Blanka Vlašić,athletics,silver,female
5837,Blessing Okagbare,athletics,silver,female
5839,Bobby-Gaye Wilkins,athletics,silver,female
5903,Catherine Ndereba,athletics,silver,female
5908,Chelsea Hammond,athletics,bronze,female
5942,Christina Obergföll,athletics,bronze,female
5946,Christine Ohuruogu,athletics,gold,female
5959,Constantina Diță,athletics,gold,female
6007,Dawn Harper-Nelson,athletics,gold,female
6080,Elisa Rigaudo,athletics,bronze,female
6108,Ene Franca Idoko,athletics,silver,female
6122,Eunice Jepkorir,athletics,silver,female
6165,Françoise Mbango Etone,athletics,gold,female
6209,Gloria Kemasuode,athletics,silver,female
6211,Gong Lijiao,athletics,bronze,female
6233,Gölnara Galkina-Sämitevä,athletics,gold,female
6236,Halimat Ismaila,athletics,silver,female
6239,Hanna Mariën,athletics,gold,female
6244,Hasna Benhassi,athletics,bronze,female
6287,Hyleas Fountain,athletics,silver,female
6325,Iryna Lishchynska,athletics,silver,female
6349,Janeth Jepkosgei,athletics,silver,female
6374,Jennifer Suhr,athletics,silver,female
6466,Kelly Sotherton,athletics,bronze,female
6474,Kerron Stewart,athletics,bronze,female
6489,Kim Gevaert,athletics,gold,female
6508,Kjersti Plätzer,athletics,silver,female
6591,Linet Masai,athletics,bronze,female
6621,Lucimar de Moura,athletics,bronze,female
6659,Manuela Montebrun,athletics,bronze,female
6688,Marilyn Okoro,athletics,bronze,female
6694,Mariya Abakumova,athletics,silver,female
6711,Mary Wineberg,athletics,gold,female
6734,Maurren Maggi,athletics,gold,female
6748,Melaine Walker,athletics,gold,female
6759,Meseret Defar,athletics,silver,female
6804,Monique Henderson,athletics,gold,female
6822,Nancy Langat,athletics,gold,female
6835,Nataliya Dobrynska,athletics,gold,female
6836,Nataliya Tobias,athletics,bronze,female
6839,Natasha Hastings,athletics,gold,female
6854,Nicola Sanders,athletics,bronze,female
6883,Novlene Williams-Mills,athletics,silver,female
6899,Olena Antonova,athletics,silver,female
6902,Olga Kaniskina,athletics,gold,female
6907,Olivia Borlée,athletics,gold,female
6911,Oludamola Osayomi,athletics,silver,female
6928,Pamela Jelimo,athletics,gold,female
6976,Priscilla Lopes-Schliep,athletics,bronze,female
